Class,Id
0,66a862159eaf0131e1a8f740630a31ea4f3a&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,71d978d942e072d09ae75a86525278f496e3&0x8d12a197cb00d4747a1fe03395095ce2a5cc6819
0,529cb8c48a2ca7d7cf52c634e87dcdba21ce&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
0,8ce64c06e3e0869c8f97b268de2cf72283d0&0x67a5de922c1f4d1a4dbd848466b86b5455fb6a3b
1,027a4ccd46ec98199fa88aaedf5aa981db26&0x41a21b264f9ebf6cf571d4543a5b3ab1c6bed98c
0,c244d798123fde783fcc1c72d3bb8c189413&0x269268008c72694abdf2a372cd6c005c7bd4dfe9
0,fb5a3871b500f65bdfafe0136f9667deae06&0x119d0cee798eb5a00ca7afc44edede46994d5267
1,a94016313d44eb9fc6deb0f46b69930b8b55&0xb2816223fddc21aca553ba208c7b7a13b27c207c
1,ca498f7271b579eec4061222ea44b5cbd59d&0xe1c9a03cf690256ff7738cbd508c88cf5238a535
0,c12ec0f81966cbceb1241272082357d30e10&0x2f6321db2461f68676f42f396330a4dc4a8f49df
1,25747845cfcd01a97a46329d04a27375edb7&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,1547c7b8ae9bcf19cf9763bc7020501c3521&0xdf93cdb6dd65c6c28c78dcdc1762aa34caf81678
0,54be79281553dc1adc160ddf5cd9b74361a4&0x3b4bba481306a96f067ee1a53610c5cc4c368708
0,bd85293f3982f40d52698df8d26be89360d6&0x0b821d8c4fe7a20e4e01f59027d4962cc2b64038
0,be9a29b412712166da673b05dd24dd01dd2c&0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x5c3453a5a2215932e7c8127b1da896afffee6d8e
1,c158fd24d1d97f936d4c5793c814d4b3949e&0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b
1,b8dc6ff301f4e1ac7297ab92cd32cd808c88&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
1,e866267d320b13ac838468b54e2c98be1385&0x8a883a20940870dc055f2070ac8ec847ed2d9918
1,417a5e9de5c97bd979b26af96b113aa1937d&0xaf6de38ffc92e0d52857f864048d7af2f345a3cf
1,3d06771cd2a8a5b7089cccfb1009f98ae558&0x7e0529eb456a7c806b5fe7b3d69a805339a06180
0,e87e0a235266d9c5adc9deb4b2e29b54d009&0x3662ef6f972163992085addc39dceabe086e7dea
0,b5ea61a310e7be6917422d71349df9fee34d&0x55d34b686aa8c04921397c5807db9ecedba00a4c
0,c70653548b04f0a75970c1f81b4cbbfb606f&0xd317b2d2a3a5de67a2d18ccb537685bb1f522695
1,98183e5562913e72613c1979d0a13f8ec76b&0x80e4f014c98320eab524ae16b0aaf1603f4dc01d
1,fc68499fb3753e77dd6871f2a0e4dc02febe&0xe7d2c826292ce8bdd5e51ce44fff4033be657269
1,ccfeb948c84d0c09317dbde14896ce8bae00&0x4e8ecf79ade5e2c49b9e30d795517a81e0bf00b8
0,7d6c32d02f0a45ed68523487782377250e33&0x6090a6e47849629b7245dfa1ca21d94cd15878ef
1,cf79ade5e2c49b9e30d795517a81e0bf00b8&0x556d4385b36aac8f38badaa0e10872190c7660eb
0,a78caf7592bd6228a48b777ae5b92f21ed20&0xa3c1e324ca1ce40db73ed6026c4a177f099b5770
